state_noise,coupling_noise,total_trials,mean_H_phi,mean_H_spectral_radius,mean_H_entropy,mean_memory_retention_ratio,survival_probability,topology_only_survival_probability,erased_probability
0.01,0.01,150,0.0,0.38555756008666103,0.3418205337168575,0.4139289050310881,0.6733333333333333,0.32666666666666666,0.14
0.01,0.025,150,0.0,0.4264704640334931,0.29397303802607216,0.4579043961665741,0.7333333333333333,0.41333333333333333,0.09333333333333334
0.01,0.05,150,0.0,0.38704929505792335,0.3349376436473045,0.4155591812049068,0.6733333333333333,0.2866666666666667,0.10666666666666667
0.01,0.1,150,0.0,0.34470505902949355,0.2655762393705393,0.3700494293141391,0.5933333333333334,0.21333333333333335,0.13333333333333333
0.01,0.2,150,0.0,0.32376373963998184,0.2957965407489872,0.3475675945914972,0.6133333333333333,0.2,0.18666666666666668
0.025,0.0,150,0.0,0.9314469487316838,2.1594965213052126,0.9999986423962065,1.0,1.0,0.0
0.025,0.001,150,0.0,0.38901831038286516,0.3422936516913086,0.4176137589525846,0.6666666666666666,0.36,0.08666666666666667
0.025,0.005,150,0.0,0.3785060533143927,0.2975223973906869,0.4063820997235357,0.6266666666666667,0.3,0.12666666666666668
0.025,0.01,150,0.0,0.40006920904559923,0.29555995040486027,0.4295068032917734,0.7066666666666667,0.3333333333333333,0.12
0.025,0.025,150,0.0,0.4095975865487765,0.37341139029705933,0.43970744931299144,0.7266666666666667,0.3333333333333333,0.05333333333333334
0.025,0.05,150,0.0,0.36445181472927457,0.30947065820773856,0.3912525456721791,0.5733333333333334,0.28,0.16
0.025,0.1,150,0.0,0.3351997765623835,0.3198460332382485,0.359843684556726,0.58,0.24666666666666667,0.19333333333333333
0.025,0.2,150,0.0,0.2930426017047846,0.3066601706450761,0.31459664200199455,0.4866666666666667,0.16666666666666666,0.20666666666666667
0.05,0.0,150,0.0,0.9314469487316838,2.1594965213052126,0.9999986423962065,1.0,1.0,0.0
0.05,0.001,150,0.0,0.36790067097616147,0.3126058309006762,0.39499594271047417,0.5733333333333334,0.30666666666666664,0.14
0.05,0.005,150,0.0,0.4015903498843368,0.3203917302626537,0.43110834319562663,0.7266666666666667,0.30666666666666664,0.10666666666666667
0.05,0.01,150,0.0,0.3664751572284602,0.29655584097526294,0.39342480671973834,0.6133333333333333,0.29333333333333333,0.16
0.05,0.025,150,0.0,0.3613343832698879,0.3037072537488425,0.3879284248172951,0.6133333333333333,0.28,0.12
0.05,0.05,150,0.0,0.35531003728938737,0.27955201723062584,0.3814722521555679,0.6,0.3,0.18
0.05,0.1,150,0.0,0.3393776025971422,0.32054818529511553,0.3643814112227664,0.5666666666666667,0.25333333333333335,0.2
0.05,0.2,150,0.0,0.32398651428866704,0.3184127878085411,0.3477656211347174,0.5533333333333333,0.21333333333333335,0.15333333333333332
0.1,0.0,150,0.0,0.9314469487316838,2.1594965213052126,0.9999986423962065,1.0,1.0,0.0
0.1,0.001,150,0.0,0.38931892860076583,0.28689150199484603,0.41799429140934613,0.7,0.2866666666666667,0.08666666666666667
0.1,0.005,150,0.0,0.36325429231948925,0.3244401660240307,0.3899996932280585,0.6,0.30666666666666664,0.11333333333333333
0.1,0.01,150,0.0,0.3580746153456509,0.26329058008665346,0.384445732632047,0.6533333333333333,0.25333333333333335,0.13333333333333333
0.1,0.025,150,0.0,0.3590079203739545,0.30899076289225635,0.3854418340073615,0.6,0.28,0.19333333333333333
0.1,0.05,150,0.0,0.3680021056336993,0.3297577728985373,0.3950934444547178,0.6866666666666666,0.26666666666666666,0.14
0.1,0.1,150,0.0,0.35539510352761466,0.30314497573382276,0.38152048292162977,0.6266666666666667,0.25333333333333335,0.1
0.1,0.2,150,0.0,0.33833151511914783,0.32688905499827164,0.3632999512808483,0.6133333333333333,0.25333333333333335,0.16666666666666666
0.2,0.0,150,0.0,0.9314469487316838,2.1594965213052126,0.9999986423962065,1.0,1.0,0.0
0.2,0.001,150,0.0,0.3302002638251804,0.29637759837482364,0.354437929016845,0.54,0.25333333333333335,0.18
0.2,0.005,150,0.0,0.3472909348271623,0.32863532281771163,0.3728060354872169,0.6133333333333333,0.2733333333333333,0.18
0.2,0.01,150,0.0,0.391344461304848,0.3007342700118267,0.4201282725225024,0.6266666666666667,0.3333333333333333,0.14666666666666667
0.2,0.025,150,0.0,0.37376015282099634,0.30942492437740576,0.40131191679854455,0.6533333333333333,0.3,0.13333333333333333
0.2,0.05,150,0.0,0.3569283365356424,0.31536306404719994,0.3832125788876567,0.5933333333333334,0.26666666666666666,0.15333333333333332
0.2,0.1,150,0.0,0.35869031435970816,0.3302190620589745,0.38506568131574215,0.6133333333333333,0.26666666666666666,0.16
0.2,0.2,150,0.0,0.3239428584976652,0.3318675767601829,0.3478205469295021,0.5466666666666666,0.22666666666666666,0.18666666666666668
