validation_sample_id,case_rank,case_category,model_name,gamma,state_noise,coupling_noise,repeat,initial_H_spectral_radius,memory_retention_ratio,memory_state,phi_forward,phi_backward,sync_forward,sync_backward,spectral_radius_forward,spectral_radius_backward,entropy_forward,entropy_backward,concentration_forward,concentration_backward,H_phi,H_sync,H_spectral_radius,H_entropy
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.005,0,0.9320907861190433,0.9965115698350283,topology_only_memory_survived,0.0,0.0,0.0,0.0,1.5490108919164607e-05,0.0002176777281484661,1.5161286941810228,2.1328629730320126,6.940443071608944,2.6994830390279887,0.0,0.0,0.9288392525052499,0.6167342788509897
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.005,1,0.9320907861190433,0.021134390204174455,memory_erased,0.0,0.0,0.0,0.0,8.70362010938254e-05,8.532166011958786e-05,1.6302442882827377,1.6320514550462655,4.837457642269217,5.0348019087759655,0.0,0.0,0.01969917037957671,0.0018071667635277677
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.005,2,0.9320907861190433,0.18360359732404025,mixed_or_weak_memory,0.0,0.0,0.0,0.0,8.416029077057871e-05,6.975750060834233e-05,1.3795031111501803,1.635521546113944,6.454862197640273,4.780018403466801,0.0,0.0,0.17113522136423254,0.25601843496376375
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.005,3,0.9320907861190433,0.6445166823294055,topology_only_memory_survived,0.0,0.0,0.0,0.0,6.524896900145394e-05,0.00016342805944025257,1.8894257847003617,1.9798285988424256,4.943827056734287,4.344293473836387,0.0,0.0,0.6007480610998978,0.09040281414206386
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.005,4,0.9320907861190433,0.7190387141470735,topology_only_memory_survived,0.0,0.0,0.0,0.0,6.94671860416383e-05,0.00021064026189242878,1.6000352694172968,2.1158026257756903,5.5057823343477565,2.9962027417330646,0.0,0.0,0.6702093603200908,0.5157673563583935
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.01,0,0.9320907861190433,0.12497542046992104,mixed_or_weak_memory,0.0,0.0,0.0,0.0,0.000294864586039077,0.0003337416269443529,1.8855988376478037,2.1651147462202784,3.8456547081896506,3.325127325699382,0.0,0.0,0.11648843791149165,0.27951590857247477
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.01,1,0.9320907861190433,0.5690625283120193,topology_only_memory_survived,0.0,0.0,0.0,0.0,0.00022018988150183157,0.0004689060773209133,1.8646928280878585,2.094499218115131,4.221083242102059,3.7085366365520014,0.0,0.0,0.5304179393658095,0.22980639002727266
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.01,2,0.9320907861190433,0.16928157255718984,mixed_or_weak_memory,0.0,0.0,0.0,0.0,0.0002010607173503842,0.0001693361922551219,2.1252517536623605,1.6556963468560117,3.1148086848354475,3.9964905109664755,0.0,0.0,0.15778579404046822,0.4695554068063488
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.01,3,0.9320907861190433,0.14189632158223198,mixed_or_weak_memory,0.0,0.0,0.0,0.0,0.0002222957751097622,0.00025617793382069905,1.890234414250474,1.6557938958985328,3.7259407647822815,4.74948772009362,0.0,0.0,0.13226025393112506,0.23444051835194113
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.01,4,0.9320907861190433,0.20609623750297912,mixed_or_weak_memory,0.0,0.0,0.0,0.0,0.0004662895607411878,0.0005771627603969143,1.9381625463489727,1.6932165544137043,4.1694208374969675,5.257039079722518,0.0,0.0,0.19210040403053494,0.24494599193526834
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.025,0,0.9320907861190433,0.5542239285669663,topology_only_memory_survived,0.0,0.0,0.0,0.0,0.0005045359793175287,0.0010436955519463088,2.104098379375643,1.4154399456415745,3.602139131677874,6.813077118565762,0.0,0.0,0.5165870172645224,0.6886584337340684
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.025,1,0.9320907861190433,0.47500940297060806,partial_topology_memory,0.0,0.0,0.0,0.0,0.0006131572083601726,0.0003416806963798191,2.0812171162924122,1.5765554270570212,2.938448355244923,5.763126151795547,0.0,0.0,0.4427518878292865,0.504661689235391
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.025,2,0.9320907861190433,0.2644986257050079,mixed_or_weak_memory,0.0,0.0,0.0,0.0,0.000620145721540794,0.00046725702176596143,1.6802802191409867,1.8372839824861513,6.614143276870044,4.466309339981981,0.0,0.0,0.24653673196105189,0.15700376334516464
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.025,3,0.9320907861190433,0.23252710642436447,mixed_or_weak_memory,0.0,0.0,0.0,0.0,0.0006255223428263657,0.0007986102275365334,1.8571140170067117,1.9183551580086515,4.06871833923848,4.479591820221938,0.0,0.0,0.21673637342130483,0.06124114100193978
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.025,4,0.9320907861190433,0.23691796146291458,mixed_or_weak_memory,0.0,0.0,0.0,0.0,0.0003014900149091634,0.0002349122614292507,1.7645304779254465,1.6074502504528523,5.8626270395473155,5.620943612920146,0.0,0.0,0.22082904894592617,0.1570802274725942
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.05,0,0.9320907861190433,0.6460741721660036,topology_only_memory_survived,0.0,0.0,0.0,0.0,0.0017116612104242923,0.0006808992002904494,1.917561114663358,1.41421244371776,3.8587239091777157,6.504591966439566,0.0,0.0,0.6021997830260665,0.5033486709455981
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.05,1,0.9320907861190433,1.0728568658541606,topology_only_memory_survived,0.0,0.0,0.0,0.0,0.0019542334143422325,0.0,2.1490340691952654,0.9934664353010687,3.729329747795667,7.423687161866453,0.0,0.0,0.9999999994882904,1.1555676338941967
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.05,2,0.9320907861190433,0.34397277386448827,partial_topology_memory,0.0,0.0,0.0,0.0,0.0009649787549545247,0.001420368607475382,1.5866205370429296,1.9156236325597935,4.547136683110567,4.420994151201921,0.0,0.0,0.3206138531952427,0.3290030955168639
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.05,3,0.9320907861190433,0.2578451611034108,mixed_or_weak_memory,0.0,0.0,0.0,0.0,0.0016617484559482358,0.002187475627483251,1.9450038780778316,2.3060072725201293,3.884464140128316,2.9126685296081294,0.0,0.0,0.24033509891012741,0.3610033944422977
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.05,4,0.9320907861190433,0.9766071127605693,topology_only_memory_survived,0.0,0.0,0.0,0.0,0.0015670769149702599,0.0001405879672783678,2.057130401411639,1.769684385989508,2.867241700681349,3.8799593254131377,0.0,0.0,0.9102864914634248,0.287446015422131
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.1,0,0.9320907861190433,0.16634171907233167,mixed_or_weak_memory,0.0,0.0,0.0,0.0,0.001891647453819402,0.0022387568103921602,1.747858465996267,1.6608784843774416,4.924185082409256,4.4944218776372376,0.0,0.0,0.15504558369468902,0.08697998161882547
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.1,1,0.9320907861190433,0.370954843366604,partial_topology_memory,0.0,0.0,0.0,0.0,0.0026866610689927637,0.0017577114881044864,1.940220149085035,1.82925100627454,3.3266782427596224,4.0143226965804795,0.0,0.0,0.3457635915686154,0.11096914281049508
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.1,2,0.9320907861190433,0.45711457348320284,partial_topology_memory,0.0,0.0,0.0,0.0,0.0009645520160458099,0.0016806158449301123,1.1362759241681235,1.5031657535836718,6.877568301089579,5.001070077033082,0.0,0.0,0.4260722821448868,0.36688982941554826
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.1,3,0.9320907861190433,0.571229277846,topology_only_memory_survived,0.0,0.0,0.0,0.0,0.001402699077616264,0.0030000250620540753,1.5797424295513798,2.053631197746762,5.655346627773161,3.100245834126654,0.0,0.0,0.5324375466422627,0.47388876819538206
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.1,4,0.9320907861190433,0.5053473304750695,partial_topology_memory,0.0,0.0,0.0,0.0,0.003995776601631328,0.002113647584659831,2.325613879055668,1.8813721422394445,2.6101833607337523,4.902064601244358,0.0,0.0,0.4710295905261728,0.4442417368162235
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.2,0,0.9320907861190433,0.37469185643714953,partial_topology_memory,0.0,0.0,0.0,0.0,0.0031308602390166273,0.004811133267357328,1.482252125603502,2.231310920459485,5.638337547714558,2.6446144314154445,0.0,0.0,0.3492468270192811,0.7490587948559833
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.2,1,0.9320907861190433,0.16405795515945565,mixed_or_weak_memory,0.0,0.0,0.0,0.0,0.005050969633330977,0.004278590972458001,2.1623785515742724,2.0644383437122023,2.8781365272381736,3.4266536839735227,0.0,0.0,0.15291690839382382,0.09794020786207014
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.2,2,0.9320907861190433,0.10404698918220093,memory_erased,0.0,0.0,0.0,0.0,0.0040585102790758965,0.004494380912866516,1.9171702547601832,1.8944482650796153,3.0402931041807797,3.644845704355825,0.0,0.0,0.0969812399402613,0.022721989680567933
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.2,3,0.9320907861190433,0.17222648396042176,mixed_or_weak_memory,0.0,0.0,0.0,0.0,0.004151895806142669,0.003485388987734056,1.908977437273451,1.788283119710544,3.4404213287567313,4.2492641074382655,0.0,0.0,0.16053071882536055,0.12069431756290694
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.0,0.2,4,0.9320907861190433,0.2820388590381918,partial_topology_memory,0.0,0.0,0.0,0.0,0.005377509754838998,0.00396383868323712,2.436522421800155,1.8854562441992075,1.9097387917346862,3.2589581611440224,0.0,0.0,0.2628858218373083,0.5510661776009473
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.001,0.0,0,0.9320907861190433,0.999998662071594,topology_only_memory_survived,0.0,0.0,0.0,0.0,2.2198254347487872e-05,1.507492752949162e-06,0.17158797724246588,2.34519223346289,15.621343652510255,4.127102923847898,0.0,0.0,0.9320895390493036,2.173604256220424
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.001,0.0,1,0.9320907861190433,0.999998662071594,topology_only_memory_survived,0.0,0.0,0.0,0.0,2.2198254347487872e-05,1.507492752949162e-06,0.17158797724246588,2.34519223346289,15.621343652510255,4.127102923847898,0.0,0.0,0.9320895390493036,2.173604256220424
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.001,0.0,2,0.9320907861190433,0.999998662071594,topology_only_memory_survived,0.0,0.0,0.0,0.0,2.2198254347487872e-05,1.507492752949162e-06,0.17158797724246588,2.34519223346289,15.621343652510255,4.127102923847898,0.0,0.0,0.9320895390493036,2.173604256220424
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.001,0.0,3,0.9320907861190433,0.999998662071594,topology_only_memory_survived,0.0,0.0,0.0,0.0,2.2198254347487872e-05,1.507492752949162e-06,0.17158797724246588,2.34519223346289,15.621343652510255,4.127102923847898,0.0,0.0,0.9320895390493036,2.173604256220424
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.001,0.0,4,0.9320907861190433,0.999998662071594,topology_only_memory_survived,0.0,0.0,0.0,0.0,2.2198254347487872e-05,1.507492752949162e-06,0.17158797724246588,2.34519223346289,15.621343652510255,4.127102923847898,0.0,0.0,0.9320895390493036,2.173604256220424
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.001,0.001,0,0.9320907861190433,0.7030260021759153,topology_only_memory_survived,0.0,0.0,0.0,0.0,2.0674956825377758e-05,5.997679545234581e-05,1.467413638414191,1.9650728252488907,6.194409667534208,3.2620604903009016,0.0,0.0,0.6552840590309801,0.4976591868346998
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.001,0.001,1,0.9320907861190433,0.1569232335074615,mixed_or_weak_memory,0.0,0.0,0.0,0.0,2.3783201995843245e-05,2.7857882718586283e-05,1.193663529135614,2.063656088635148,7.619630492311855,4.334804882162016,0.0,0.0,0.1462667000804689,0.8699925594995341
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.001,0.001,2,0.9320907861190433,0.4221570527130788,partial_topology_memory,0.0,0.0,0.0,0.0,2.381974083906272e-05,3.927336753389781e-05,1.860529497738403,1.9500196340235778,4.016713595133556,3.524757963663445,0.0,0.0,0.39348869912945417,0.08949013628517477
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.001,0.001,3,0.9320907861190433,0.061888798182590264,memory_erased,0.0,0.0,0.0,0.0,2.6822481417054812e-05,2.527520027168589e-05,1.5780586950175386,1.8121385926326987,5.671529016383652,4.523211876499216,0.0,0.0,0.057685978550035266,0.23407989761516013
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.001,0.001,4,0.9320907861190433,0.40909433911288434,partial_topology_memory,0.0,0.0,0.0,0.0,5.9114333985854364e-05,3.657326577774143e-05,2.1280192655439634,1.6832524119058228,4.040657887493539,5.322206192442992,0.0,0.0,0.3813130641409879,0.4447668536381406
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.001,0.005,0,0.9320907861190433,0.31393587751481844,partial_topology_memory,0.0,0.0,0.0,0.0,0.00020422456782295015,0.0001444650404980571,2.27847364313514,1.832038626201744,2.8622177324372378,4.461424282415167,0.0,0.0,0.29261673886407275,0.4464350169333957
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,0,self_reinforced_transport,base_stabilized_coupling,0.2,0.001,0.005,1,0.9320907861190433,0.6638001913340307,topology_only_memory_survived,0.0,0.0,0.0,0.0,0.0002637534682730155,0.00010056338313573899,2.150902438882449,1.8162262790093016,3.114759771998789,3.8044124940664323,0.0,0.0,0.6187220421671717,0.33467615987314736
