validation_sample_id,case_category,recommended_priority,model_name,direction_forward,gamma,alpha_index_forward,alpha,segment_initial_phi_forward,segment_peak_phi_forward,final_phi_forward,transport_retention_forward,final_sync_forward,final_energy_forward,initial_coupling_entropy_global_forward,segment_initial_coupling_entropy_forward,final_coupling_entropy_forward,coupling_entropy_drop_forward,final_coupling_spectral_radius_forward,coupling_concentration_forward,final_M_saturation_fraction_forward,final_C_saturation_fraction_forward,segment_M_saturation_max_forward,segment_C_saturation_max_forward,memory_regime_forward,direction_backward,alpha_index_backward,segment_initial_phi_backward,segment_peak_phi_backward,final_phi_backward,transport_retention_backward,final_sync_backward,final_energy_backward,initial_coupling_entropy_global_backward,segment_initial_coupling_entropy_backward,final_coupling_entropy_backward,coupling_entropy_drop_backward,final_coupling_spectral_radius_backward,coupling_concentration_backward,final_M_saturation_fraction_backward,final_C_saturation_fraction_backward,segment_M_saturation_max_backward,segment_C_saturation_max_backward,memory_regime_backward,H_phi,H_sync,H_entropy,H_spectral_radius,saturation_warning_forward,saturation_warning_backward,saturation_warning_any,memory_strength,hysteresis_detected,topology_only_memory_soft,topology_only_memory_strict,transport_memory_dominant,coupled_transport_topology_memory,low_memory,delta_final_phi_abs,delta_spectral_radius_abs,topology_only_score
n10_ring10_two_edges_removed_cut_e1_e4_probe_e7_e8,stable_synchronization_island,B,neutral_coupling,forward,0.2,0,0.0,0.0012438979875798,0.0031993981677805,0.0,0.0,0.0,0.0246859561023621,2.4288048348726483,2.4288048348726483,2.439254827264528,-0.0104499923918792,0.0473498239708537,1.733123405190775,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,6,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.4380339996251865,2.4380340018160838,-2.1908967973160998e-09,1.2504095216581945e-05,2.659642122174424,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,0.0012208254484442,0.9997359209566647,False,False,False,0.2505467253372054,True,True,True,False,False,False,0.0,0.04733731987563712,1.0071323706608069
n10_ring10_two_edges_removed_cut_e0_e1_probe_e3_e7,mixed_adaptive_topology_response,B,gradient_driven_coupling,forward,0.1,1,0.02,0.0,0.0,0.0,0.0,0.0,0.0964508137031378,2.347284191955556,2.410481748987044,2.4554211892795443,-0.0449394402925005,0.0566183358067571,2.0367666863233307,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,5,0.0,0.0,0.0,0.0,0.0,0.0327228006798733,2.347284191955556,2.512846585514864,2.511823372413044,0.0010232131018197,0.0131275331459259,1.9817009591135448,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,0.0564021831334997,0.768139897444189,False,False,False,0.2302877754814954,True,True,True,False,False,False,0.0,0.0434908026608312,0.9441754004027689
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,mixed_adaptive_topology_response,B,gradient_driven_coupling,forward,0.1,1,0.02,0.0,0.0,0.0,0.0,0.0,0.0964508137031378,2.347284191955556,2.410481748987044,2.4554211892795443,-0.0449394402925005,0.0566183358067571,2.0367666863233307,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,5,0.0,0.0,0.0,0.0,0.0,0.0327228006798733,2.347284191955556,2.512846585514864,2.511823372413044,0.0010232131018197,0.0131275331459259,1.9817009591135448,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,0.0564021831334997,0.768139897444189,False,False,False,0.2302877754814954,True,True,True,False,False,False,0.0,0.0434908026608312,0.9441754004027689
n10_ring10_two_edges_removed_cut_e1_e4_probe_e7_e8,self_reinforced_transport,C,neutral_coupling,forward,0.2,2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.439923507565236,2.4399444613669967,-2.0953801760814628e-05,0.0023136543230244,1.7311293706727078,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,4,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.438033043972892,2.4380339549502814,-9.10977389523282e-07,0.0002549728589132,2.6596434253393517,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,0.0019105064167153,0.8897964759619863,False,False,False,0.2244624243126254,True,True,True,False,False,False,0.0,0.0020586814641111997,0.9208615647193827
n10_ring10_two_edges_removed_cut_e2_e5_probe_e8_e9,stable_synchronization_island,B,neutral_coupling,forward,0.2,2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.439923507565236,2.4399444613669967,-2.0953801760814628e-05,0.0023136543230244,1.7311293706727078,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,4,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.438033043972892,2.4380339549502814,-9.10977389523282e-07,0.0002549728589132,2.6596434253393517,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,0.0019105064167153,0.8897964759619863,False,False,False,0.2244624243126254,True,True,True,False,False,False,0.0,0.0020586814641111997,0.9208615647193827
n10_ring10_two_edges_removed_cut_e2_e5_probe_e8_e9,self_reinforced_transport,C,neutral_coupling,forward,0.2,2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.439923507565236,2.4399444613669967,-2.0953801760814628e-05,0.0023136543230244,1.7311293706727078,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,4,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.438033043972892,2.4380339549502814,-9.10977389523282e-07,0.0002549728589132,2.6596434253393517,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,0.0019105064167153,0.8897964759619863,False,False,False,0.2244624243126254,True,True,True,False,False,False,0.0,0.0020586814641111997,0.9208615647193827
n10_ring10_two_edges_removed_cut_e1_e4_probe_e7_e8,stable_synchronization_island,B,neutral_coupling,forward,0.2,2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.439923507565236,2.4399444613669967,-2.0953801760814628e-05,0.0023136543230244,1.7311293706727078,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,4,0.0,0.0,0.0,0.0,0.0,0.0,2.4288048348726483,2.438033043972892,2.4380339549502814,-9.10977389523282e-07,0.0002549728589132,2.6596434253393517,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,0.0019105064167153,0.8897964759619863,False,False,False,0.2244624243126254,True,True,True,False,False,False,0.0,0.0020586814641111997,0.9208615647193827
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,self_reinforced_transport,C,base_stabilized_coupling,forward,0.1,3,0.1,0.0,0.0,0.0,0.0,0.0,0.0329017622200155,2.4570351352126023,2.532668778697018,2.55464484215123,-0.0219760634542121,0.0126815290414884,1.575388211353979,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,3,0.0,0.0,0.0,0.0,0.0,0.0629436981891674,2.4570351352126023,2.596621129567544,2.5884691727595834,0.0081519568079606,0.0570867905961475,1.7592002100031956,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,0.0338243306083532,0.7778552812334465,False,False,False,0.216610178851779,True,True,True,False,False,False,0.0,0.0444052615546591,0.9183878256121447
n10_ring10_two_edges_removed_cut_e0_e1_probe_e3_e7,mixed_adaptive_topology_response,B,base_stabilized_coupling,forward,0.1,3,0.1,0.0,0.0,0.0,0.0,0.0,0.0329017622200155,2.4570351352126023,2.532668778697018,2.55464484215123,-0.0219760634542121,0.0126815290414884,1.575388211353979,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,3,0.0,0.0,0.0,0.0,0.0,0.0629436981891674,2.4570351352126023,2.596621129567544,2.5884691727595834,0.0081519568079606,0.0570867905961475,1.7592002100031956,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,0.0338243306083532,0.7778552812334465,False,False,False,0.216610178851779,True,True,True,False,False,False,0.0,0.0444052615546591,0.9183878256121447
n10_ring10_two_edges_removed_cut_e0_e1_probe_e3_e7,stable_synchronization_island,B,base_stabilized_coupling,forward,0.1,3,0.1,0.0,0.0,0.0,0.0,0.0,0.0329017622200155,2.4570351352126023,2.532668778697018,2.55464484215123,-0.0219760634542121,0.0126815290414884,1.575388211353979,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,3,0.0,0.0,0.0,0.0,0.0,0.0629436981891674,2.4570351352126023,2.596621129567544,2.5884691727595834,0.0081519568079606,0.0570867905961475,1.7592002100031956,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,0.0338243306083532,0.7778552812334465,False,False,False,0.216610178851779,True,True,True,False,False,False,0.0,0.0444052615546591,0.9183878256121447
