phase14_case_key,source_table,model_name,case_category,phase14_initial_basin_class,X_transport_memory,Y_topology_memory,E_entropy_memory,M_memory_strength,Z_basin_survival,P_erasure,P_topology_only_survival,R_memory_retention,XY_memory_radius,topology_minus_transport_memory,transport_topology_asymmetry,normalized_entropy_memory,normalized_memory_strength,basin_depth_proxy,basin_depth_proxy_norm,phase14_basin_class,relaxation_layer
1305,hysteresis,base_stabilized_coupling,self_reinforced_transport,topology_only_basin,0.0,0.6727620353413364,0.1285042789683048,0.29187748362525,,,,,0.6727620353413364,0.6727620353413364,0.9999999999985136,0.05233961966862883,0.28033907612421866,0.6727620353413364,0.2901725056017005,topology_only_basin,transport_relaxed_topology_persistent
1306,hysteresis,base_stabilized_coupling,self_reinforced_transport,topology_only_basin,0.0,0.8497281353909787,0.1126129512927844,0.3086330142399015,,,,,0.8497281353909787,0.8497281353909787,0.9999999999988232,0.045833303365046846,0.2978560814247182,0.8497281353909787,0.3665006780615397,topology_only_basin,transport_relaxed_topology_persistent
1307,hysteresis,base_stabilized_coupling,self_reinforced_transport,topology_only_basin,0.0,0.9276427816139436,0.1067863729907419,0.3193581743950825,,,,,0.9276427816139436,0.9276427816139436,0.999999999998922,0.04344775307153214,0.3090686590271685,0.9276427816139436,0.4001064508755733,topology_only_basin,transport_relaxed_topology_persistent
1308,hysteresis,base_stabilized_coupling,self_reinforced_transport,coupled_memory_basin,0.9999999999838048,0.9631618919983994,0.1100783920415899,0.8340152629101386,,,,,1.3884094605574921,-0.03683810798540543,-0.01876468167797982,0.0447955899332205,0.8471149408664744,0.0,0.0,coupled_memory_basin,transport_and_topology_unrelaxed
1309,hysteresis,base_stabilized_coupling,self_reinforced_transport,topology_only_basin,0.0,0.949312357932598,0.1142673533462343,0.3365052603514968,,,,,0.949312357932598,0.949312357932598,0.9999999999989466,0.04651065791167935,0.32699501435989564,0.949312357932598,0.4094528689630936,topology_only_basin,transport_relaxed_topology_persistent
1310,hysteresis,base_stabilized_coupling,self_reinforced_transport,topology_only_basin,0.0,0.769900351723264,0.0766115209694802,0.2555878330288552,,,,,0.769900351723264,0.769900351723264,0.9999999999987012,0.031093396300792445,0.24240019991253584,0.769900351723264,0.3320697399487213,topology_only_basin,transport_relaxed_topology_persistent
1311,hysteresis,base_stabilized_coupling,self_reinforced_transport,erased_basin,0.0,0.0201317642475736,0.0536474658451213,0.0413599718742183,,,,,0.0201317642475736,0.0201317642475736,0.9999999999503273,0.021691324346657954,0.018436503049420648,0.0201317642475736,0.008683136335030104,erased_basin,transport_and_topology_relaxed
1312,hysteresis,base_stabilized_coupling,self_reinforced_transport,topology_only_basin,0.0,0.7778552812334465,0.0338243306083532,0.216610178851779,,,,,0.7778552812334465,0.7778552812334465,0.9999999999987145,0.013575225389251547,0.20165116065359126,0.7778552812334465,0.33550082212428345,topology_only_basin,transport_relaxed_topology_persistent
1313,hysteresis,base_stabilized_coupling,self_reinforced_transport,topology_only_basin,0.0,0.9464143493825824,0.0183210523039365,0.253672915076738,,,,,0.9464143493825824,0.9464143493825824,0.9999999999989434,0.007227786430681842,0.2403982562744199,0.9464143493825824,0.4082029137663998,topology_only_basin,transport_relaxed_topology_persistent
1314,hysteresis,base_stabilized_coupling,self_reinforced_transport,topology_only_basin,0.0,0.9842443335114232,0.0719167217070215,0.3000701870193124,,,,,0.9842443335114232,0.9842443335114232,0.999999999998984,0.02917122531501423,0.2889041065061106,0.9842443335114232,0.42451956171156635,topology_only_basin,transport_relaxed_topology_persistent
