state_noise,coupling_noise,combined_noise_radius,trial_count,count_topology_only_memory_survived,p_topology_only_memory_survived,count_partial_topology_memory,p_partial_topology_memory,count_mixed_or_weak_memory,p_mixed_or_weak_memory,count_memory_erased,p_memory_erased,dominant_state,dominant_probability,transition_entropy,transition_entropy_norm,degradation_index,survival_mass,erasure_mass,ambiguous_mass,boundary_regime,memory_loss_mass,partial_retention_ratio,erasure_given_loss,boundary_thickness_proxy,erosion_index
0.025,0.0,0.025,150,150,1.0,0,0.0,0,0.0,0,0.0,topology_only_memory_survived,1.0,-0.0,-0.0,0.0,1.0,0.0,0.0,deep_survival_basin,0.0,0.0,0.0,-0.0,0.0
0.025,0.001,0.0250199920063936,150,54,0.36,46,0.3066666666666666,37,0.2466666666666666,13,0.0866666666666666,topology_only_memory_survived,0.36,1.287495646310886,0.928731792049423,0.3533333333333333,0.6666666666666666,0.0866666666666666,0.5533333333333333,survival_dominant_basin,0.3333333333333332,0.45999999999931,0.2599999999992199,0.5943883469116308,0.6
0.025,0.005,0.0254950975679639,150,45,0.3,49,0.3266666666666666,37,0.2466666666666666,19,0.1266666666666666,partial_topology_memory,0.3266666666666666,1.333653227302364,0.962027448647341,0.4000000000000001,0.6266666666666667,0.1266666666666666,0.5733333333333334,survival_dominant_basin,0.3733333333333332,0.521276595743849,0.3392857142848055,0.6477651487558763,0.6466666666666666
0.025,0.01,0.0269258240356725,150,50,0.3333333333333333,56,0.3733333333333333,26,0.1733333333333333,18,0.12,partial_topology_memory,0.3733333333333333,1.2922483168744878,0.9321601191759668,0.36,0.7066666666666667,0.12,0.5466666666666666,survival_dominant_basin,0.29333333333333333,0.5283018867917053,0.40909090908951445,0.5841536746836059,0.5333333333333333
0.025,0.025,0.0353553390593273,150,50,0.3333333333333333,59,0.3933333333333333,33,0.22,8,0.0533333333333333,partial_topology_memory,0.3933333333333333,1.222661018605074,0.8819634941148944,0.3311111111111111,0.7266666666666666,0.0533333333333333,0.6133333333333333,survival_dominant_basin,0.2733333333333333,0.5412844036689799,0.19512195121879825,0.5350578530963693,0.551111111111111
0.025,0.05,0.0559016994374947,150,42,0.28,44,0.2933333333333333,40,0.2666666666666666,24,0.16,partial_topology_memory,0.2933333333333333,1.361869041074835,0.9823808559494364,0.4355555555555555,0.5733333333333334,0.16,0.56,broad_transition_boundary,0.42666666666666664,0.5116279069758518,0.37499999999912115,0.6942158048709351,0.7022222222222221
0.025,0.1,0.1030776406404415,150,37,0.2466666666666666,50,0.3333333333333333,34,0.2266666666666666,29,0.1933333333333333,partial_topology_memory,0.3333333333333333,1.3656156277909168,0.9850834469872122,0.4555555555555555,0.58,0.1933333333333333,0.5599999999999999,broad_transition_boundary,0.41999999999999993,0.5747126436771701,0.46031746031636434,0.6567222979914749,0.6822222222222221
0.025,0.2,0.2015564437074637,150,25,0.1666666666666666,48,0.32,46,0.3066666666666666,31,0.2066666666666666,partial_topology_memory,0.32,1.351564282610778,0.9749475439826094,0.5177777777777778,0.4866666666666667,0.2066666666666666,0.6266666666666667,broad_transition_boundary,0.5133333333333332,0.6575342465739915,0.4025974025966183,0.6629643299081743,0.8244444444444445
0.05,0.0,0.05,150,150,1.0,0,0.0,0,0.0,0,0.0,topology_only_memory_survived,1.0,-0.0,-0.0,0.0,1.0,0.0,0.0,deep_survival_basin,0.0,0.0,0.0,-0.0,0.0
0.05,0.001,0.0500099990001999,150,46,0.3066666666666666,40,0.2666666666666666,43,0.2866666666666667,21,0.14,topology_only_memory_survived,0.3066666666666666,1.348373570295783,0.9726459315657362,0.4200000000000001,0.5733333333333333,0.14,0.5533333333333333,broad_transition_boundary,0.4266666666666667,0.4651162790689562,0.328124999999231,0.6743678458855771,0.7066666666666668
0.05,0.005,0.0502493781056044,150,46,0.3066666666666666,63,0.42,25,0.1666666666666666,16,0.1066666666666666,partial_topology_memory,0.42,1.2641799129048794,0.9119130455696556,0.3577777777777778,0.7266666666666666,0.1066666666666666,0.5866666666666667,survival_dominant_basin,0.2733333333333332,0.5779816513753515,0.39024390243759666,0.5289095664304003,0.5244444444444444
0.05,0.01,0.0509901951359278,150,44,0.2933333333333333,48,0.32,34,0.2266666666666666,24,0.16,partial_topology_memory,0.32,1.3540250128877065,0.9767225856663544,0.4177777777777778,0.6133333333333333,0.16,0.5466666666666666,broad_transition_boundary,0.3866666666666666,0.521739130433932,0.4137931034472058,0.6641713582531209,0.6444444444444444
0.05,0.025,0.0559016994374947,150,42,0.28,50,0.3333333333333333,40,0.2666666666666666,18,0.12,partial_topology_memory,0.3333333333333333,1.3295343337896075,0.9590562950249396,0.4088888888888888,0.6133333333333333,0.12,0.6,survival_dominant_basin,0.3866666666666666,0.5434782608686791,0.3103448275854043,0.6393708633499599,0.6755555555555554
0.05,0.05,0.0707106781186547,150,45,0.3,45,0.3,33,0.22,27,0.18,topology_only_memory_survived,0.3,1.364155500830659,0.984030188024896,0.4266666666666667,0.6,0.18,0.52,broad_transition_boundary,0.4,0.49999999999916667,0.44999999999887497,0.6888211316174271,0.6466666666666667
0.05,0.1,0.1118033988749895,150,38,0.2533333333333333,47,0.3133333333333333,35,0.2333333333333333,30,0.2,partial_topology_memory,0.3133333333333333,1.3729131944164588,0.9903475285778252,0.4599999999999999,0.5666666666666667,0.2,0.5466666666666666,broad_transition_boundary,0.43333333333333335,0.5529411764696124,0.46153846153739647,0.6800386362901067,0.6933333333333334
0.05,0.2,0.206155281280883,150,32,0.2133333333333333,51,0.34,44,0.2933333333333333,23,0.1533333333333333,partial_topology_memory,0.34,1.343652847314217,0.9692406497482784,0.4622222222222222,0.5533333333333333,0.1533333333333333,0.6333333333333333,broad_transition_boundary,0.44666666666666655,0.6144578313241909,0.34328358208878373,0.6396988288338636,0.7555555555555554
0.1,0.0,0.1,150,150,1.0,0,0.0,0,0.0,0,0.0,topology_only_memory_survived,1.0,-0.0,-0.0,0.0,1.0,0.0,0.0,deep_survival_basin,0.0,0.0,0.0,-0.0,0.0
0.1,0.001,0.1000049998750062,150,43,0.2866666666666667,62,0.4133333333333333,32,0.2133333333333333,13,0.0866666666666666,partial_topology_memory,0.4133333333333333,1.264889778201522,0.9124251051412384,0.3666666666666666,0.7,0.0866666666666666,0.6266666666666667,survival_dominant_basin,0.2999999999999999,0.5904761904753469,0.28888888888792585,0.5352893950161932,0.58
0.1,0.005,0.1001249219725039,150,46,0.3066666666666666,44,0.2933333333333333,43,0.2866666666666667,17,0.1133333333333333,topology_only_memory_survived,0.3066666666666666,1.3271814277317178,0.9573590320742418,0.4022222222222222,0.6,0.1133333333333333,0.5800000000000001,survival_dominant_basin,0.39999999999999997,0.48888888888807414,0.28333333333262495,0.6637689289048077,0.6888888888888889
0.1,0.01,0.1004987562112089,150,38,0.2533333333333333,60,0.4,32,0.2133333333333333,20,0.1333333333333333,partial_topology_memory,0.4,1.312587679672257,0.9468318680975584,0.4088888888888888,0.6533333333333333,0.1333333333333333,0.6133333333333334,survival_dominant_basin,0.34666666666666657,0.6122448979582467,0.3846153846142752,0.568099120858535,0.622222222222222
0.1,0.025,0.1030776406404415,150,42,0.28,48,0.32,31,0.2066666666666666,29,0.1933333333333333,partial_topology_memory,0.32,1.364602261428739,0.9843524576745531,0.4377777777777778,0.6000000000000001,0.1933333333333333,0.5266666666666666,broad_transition_boundary,0.3999999999999999,0.5333333333324444,0.4833333333321251,0.6693596712186961,0.6444444444444444
0.1,0.05,0.1118033988749895,150,40,0.2666666666666666,63,0.42,26,0.1733333333333333,21,0.14,partial_topology_memory,0.42,1.2958476467097595,0.934756486827902,0.3955555555555555,0.6866666666666666,0.14,0.5933333333333333,survival_dominant_basin,0.31333333333333335,0.6116504854360025,0.44680851063687194,0.5421587623601832,0.5688888888888889
0.1,0.1,0.1414213562373095,150,38,0.2533333333333333,56,0.3733333333333333,41,0.2733333333333333,15,0.1,partial_topology_memory,0.3733333333333333,1.3004674507483838,0.9380889710161028,0.4066666666666665,0.6266666666666667,0.1,0.6466666666666667,survival_dominant_basin,0.3733333333333333,0.5957446808501132,0.2678571428564254,0.5878690885034245,0.6799999999999998
0.1,0.2,0.223606797749979,150,38,0.2533333333333333,54,0.36,33,0.22,25,0.1666666666666666,partial_topology_memory,0.36,1.3473682425351068,0.9719207408783384,0.4333333333333333,0.6133333333333333,0.1666666666666666,0.58,broad_transition_boundary,0.3866666666666666,0.5869565217381735,0.4310344827575059,0.6220292741621366,0.6533333333333332
