combined_noise_radius,trial_count,observed_state_count,basin_entropy,basin_entropy_norm_observed,basin_entropy_norm_global,dominant_state,dominant_state_probability,p_memory_erased,p_mixed_or_weak_memory,p_partial_topology_memory,p_topology_only_memory_survived
0.05000999900019996,300,4,1.355734840033322,0.9779559652382329,0.9779559652382329,partial_topology_memory,0.31,0.15666666666666668,0.24,0.31,0.29333333333333333
0.05024937810560445,300,4,1.2949884483244207,0.9341367062030678,0.9341367062030678,partial_topology_memory,0.4,0.13333333333333333,0.16666666666666666,0.4,0.3
0.050990195135927854,300,4,1.3300220281142676,0.9594080921167677,0.9594080921167677,partial_topology_memory,0.35333333333333333,0.13333333333333333,0.22333333333333333,0.35333333333333333,0.29
0.05590169943749475,300,4,1.3477738900627654,0.9722133537165893,0.9722133537165893,partial_topology_memory,0.31333333333333335,0.14,0.26666666666666666,0.31333333333333335,0.28
0.07071067811865477,150,4,1.364155500830659,0.984030188024896,0.984030188024896,topology_only_memory_survived,0.3,0.18,0.22,0.3,0.3
0.1,300,4,1.0290373148507963,0.7422935155124694,0.7422935155124694,topology_only_memory_survived,0.65,0.1,0.11333333333333333,0.13666666666666666,0.65
0.10000499987500626,300,4,1.3176550491879557,0.9504872025328834,0.9504872025328834,partial_topology_memory,0.36666666666666664,0.12,0.23,0.36666666666666664,0.2833333333333333
0.10012492197250394,300,4,1.33730675509449,0.9646629118610661,0.9646629118610661,partial_topology_memory,0.31666666666666665,0.12666666666666668,0.26666666666666666,0.31666666666666665,0.29
0.1004987562112089,300,4,1.3193566923789257,0.9517146786293709,0.9517146786293709,partial_topology_memory,0.39,0.13333333333333333,0.24333333333333335,0.39,0.23333333333333334
0.10307764064044153,300,4,1.3659356066244694,0.98531426292539,0.98531426292539,partial_topology_memory,0.32666666666666666,0.19333333333333333,0.21666666666666667,0.32666666666666666,0.2633333333333333
0.1118033988749895,300,4,1.3432406689813126,0.9689433259298567,0.9689433259298567,partial_topology_memory,0.36666666666666664,0.17,0.20333333333333334,0.36666666666666664,0.26
0.14142135623730953,150,4,1.3004674507483838,0.9380889710161028,0.9380889710161028,partial_topology_memory,0.37333333333333335,0.1,0.2733333333333333,0.37333333333333335,0.25333333333333335
0.2,300,4,1.0986119142752735,0.7924809802932341,0.7924809802932341,topology_only_memory_survived,0.5966666666666667,0.08666666666666667,0.13,0.18666666666666668,0.5966666666666667
0.20000249998437522,300,4,1.3615732377989394,0.9821674789898296,0.9821674789898296,partial_topology_memory,0.3466666666666667,0.2,0.23666666666666666,0.3466666666666667,0.21666666666666667
0.2000624902374256,300,4,1.350041744032212,0.9738492645541799,0.9738492645541799,partial_topology_memory,0.36666666666666664,0.19666666666666666,0.19666666666666666,0.36666666666666664,0.24
0.2002498439450079,300,4,1.3482613334688145,0.9725649698088998,0.9725649698088998,partial_topology_memory,0.35333333333333333,0.16666666666666666,0.21333333333333335,0.35333333333333333,0.26666666666666666
0.20155644370746376,300,4,1.3575550250056974,0.9792689511548062,0.9792689511548062,partial_topology_memory,0.33666666666666667,0.17,0.26,0.33666666666666667,0.23333333333333334
0.20615528128088306,300,4,1.3507642690490935,0.9743704561835664,0.9743704561835664,partial_topology_memory,0.3333333333333333,0.15333333333333332,0.2733333333333333,0.3333333333333333,0.24
0.223606797749979,300,4,1.3485776994419254,0.9727931796191565,0.9727931796191565,partial_topology_memory,0.35333333333333333,0.16333333333333333,0.22333333333333333,0.35333333333333333,0.26
0.28284271247461906,150,4,1.366829888696313,0.9859593510804924,0.9859593510804924,partial_topology_memory,0.32,0.18666666666666668,0.26666666666666666,0.32,0.22666666666666666
