state_noise,coupling_noise,trial_count,observed_state_count,basin_entropy,basin_entropy_norm_observed,basin_entropy_norm_global,dominant_state,dominant_state_probability,p_memory_erased,p_mixed_or_weak_memory,p_partial_topology_memory,p_topology_only_memory_survived
0.01,0.05,150,4,1.2974121696246166,0.9358850515532126,0.9358850515532126,partial_topology_memory,0.38666666666666666,0.10666666666666667,0.22,0.38666666666666666,0.2866666666666667
0.01,0.1,150,4,1.320444818348809,0.9524995955996773,0.9524995955996773,partial_topology_memory,0.38,0.13333333333333333,0.2733333333333333,0.38,0.21333333333333335
0.01,0.2,150,4,1.3222626203800512,0.953810862587573,0.953810862587573,partial_topology_memory,0.41333333333333333,0.18666666666666668,0.2,0.41333333333333333,0.2
0.025,0.0,150,1,-0.0,0.0,-0.0,topology_only_memory_survived,1.0,0.0,0.0,0.0,1.0
0.025,0.001,150,4,1.287495646310886,0.928731792049423,0.928731792049423,topology_only_memory_survived,0.36,0.08666666666666667,0.24666666666666667,0.30666666666666664,0.36
0.025,0.005,150,4,1.333653227302364,0.962027448647341,0.962027448647341,partial_topology_memory,0.32666666666666666,0.12666666666666668,0.24666666666666667,0.32666666666666666,0.3
0.025,0.01,150,4,1.2922483168744878,0.9321601191759668,0.9321601191759668,partial_topology_memory,0.37333333333333335,0.12,0.17333333333333334,0.37333333333333335,0.3333333333333333
0.025,0.025,150,4,1.222661018605074,0.8819634941148944,0.8819634941148944,partial_topology_memory,0.3933333333333333,0.05333333333333334,0.22,0.3933333333333333,0.3333333333333333
0.025,0.05,150,4,1.361869041074835,0.9823808559494364,0.9823808559494364,partial_topology_memory,0.29333333333333333,0.16,0.26666666666666666,0.29333333333333333,0.28
0.025,0.1,150,4,1.3656156277909168,0.9850834469872122,0.9850834469872122,partial_topology_memory,0.3333333333333333,0.19333333333333333,0.22666666666666666,0.3333333333333333,0.24666666666666667
0.025,0.2,150,4,1.3515642826107777,0.9749475439826092,0.9749475439826092,partial_topology_memory,0.32,0.20666666666666667,0.30666666666666664,0.32,0.16666666666666666
0.05,0.0,150,1,-0.0,0.0,-0.0,topology_only_memory_survived,1.0,0.0,0.0,0.0,1.0
0.05,0.001,150,4,1.348373570295783,0.9726459315657362,0.9726459315657362,topology_only_memory_survived,0.30666666666666664,0.14,0.2866666666666667,0.26666666666666666,0.30666666666666664
0.05,0.005,150,4,1.2641799129048794,0.9119130455696556,0.9119130455696556,partial_topology_memory,0.42,0.10666666666666667,0.16666666666666666,0.42,0.30666666666666664
