state_noise,coupling_noise,combined_noise_radius,trial_count,count_topology_only_memory_survived,p_topology_only_memory_survived,count_partial_topology_memory,p_partial_topology_memory,count_mixed_or_weak_memory,p_mixed_or_weak_memory,count_memory_erased,p_memory_erased,dominant_state,dominant_probability,transition_entropy,transition_entropy_norm,degradation_index,survival_mass,erasure_mass,ambiguous_mass
0.1,0.05,0.1118033988749895,150,40,0.26666666666666666,63,0.42,26,0.17333333333333334,21,0.14,partial_topology_memory,0.42,1.2958476467097597,0.9347564868279019,0.3955555555555555,0.6866666666666666,0.14,0.5933333333333333
0.1,0.1,0.14142135623730953,150,38,0.25333333333333335,56,0.37333333333333335,41,0.2733333333333333,15,0.1,partial_topology_memory,0.37333333333333335,1.3004674507483838,0.9380889710161028,0.40666666666666657,0.6266666666666667,0.1,0.6466666666666667
0.1,0.2,0.223606797749979,150,38,0.25333333333333335,54,0.36,33,0.22,25,0.16666666666666666,partial_topology_memory,0.36,1.3473682425351068,0.9719207408783384,0.43333333333333335,0.6133333333333333,0.16666666666666666,0.58
0.2,0.0,0.2,150,150,1.0,0,0.0,0,0.0,0,0.0,topology_only_memory_survived,1.0,-0.0,-0.0,0.0,1.0,0.0,0.0
0.2,0.001,0.20000249998437522,150,38,0.25333333333333335,43,0.2866666666666667,42,0.28,27,0.18,partial_topology_memory,0.2866666666666667,1.3711046381332945,0.9890429309873804,0.46222222222222215,0.54,0.18,0.5666666666666667
0.2,0.005,0.2000624902374256,150,41,0.2733333333333333,51,0.34,31,0.20666666666666667,27,0.18,partial_topology_memory,0.34,1.3558302225964312,0.9780247692136254,0.43111111111111117,0.6133333333333333,0.18,0.5466666666666666
0.2,0.01,0.2002498439450079,150,50,0.3333333333333333,44,0.29333333333333333,34,0.22666666666666666,22,0.14666666666666667,topology_only_memory_survived,0.3333333333333333,1.3439373875986342,0.9694459021769092,0.3955555555555556,0.6266666666666667,0.14666666666666667,0.52
0.2,0.025,0.20155644370746376,150,45,0.3,53,0.35333333333333333,32,0.21333333333333335,20,0.13333333333333333,partial_topology_memory,0.35333333333333333,1.3270121086389364,0.9572368941664999,0.39333333333333337,0.6533333333333333,0.13333333333333333,0.5666666666666667
0.2,0.05,0.20615528128088306,150,40,0.26666666666666666,49,0.32666666666666666,38,0.25333333333333335,23,0.15333333333333332,partial_topology_memory,0.32666666666666666,1.3533085353765806,0.9762057563902495,0.43111111111111106,0.5933333333333333,0.15333333333333332,0.5800000000000001
0.2,0.1,0.223606797749979,150,40,0.26666666666666666,52,0.3466666666666667,34,0.22666666666666666,24,0.16,partial_topology_memory,0.3466666666666667,1.3493726187889767,0.9733665927191052,0.4266666666666667,0.6133333333333333,0.16,0.5733333333333334
0.2,0.2,0.28284271247461906,150,34,0.22666666666666666,48,0.32,40,0.26666666666666666,28,0.18666666666666668,partial_topology_memory,0.32,1.366829888696313,0.9859593510804924,0.4711111111111112,0.5466666666666666,0.18666666666666668,0.5866666666666667
